0.005     0     0.1     -0     0.2466808261     0.9884554271
0.0055     0     0.1     9.860145907e+18     0.2560730272     0.9873744328
0.006     0     0.3     3.776805533e+19     0.2647412538     0.9863056391
0.0065     0     1.1     1.352624533e+20     0.2727703916     0.985248779
0.007     0     3.9     6.545742005e+20     0.2802301225     0.9842035914
0.0075     0     13.5     6.11883046e+21     0.287178568     0.9831698215
0.008     0     46.3     1.019727409e+23     0.2936648693     0.9821472201
0.0085     0     158.3     2.564305682e+23     0.2997310615     0.9811355439
0.009     0     540.7     8.462154852e+19     0.3054134669     0.9801345547
0.0095     0     1846.3     2.140648256e+19     0.3107437503     0.9791440202
0.01     0     6303.9     7.158095226e+18     0.3157497322     0.9781637128
0.0105     0     21523.1     3.405951041e+18     0.3204560256     0.9771934101
